""	"SRR1777612_1"	"SRR1777613_1"	"SRR1777614_1"	"SRR1777615_1"	"SRR1777616_1"	"SRR1777617_1"
"1700008P02Rik"	0	0	0	0	0	0
"1700009C05Rik"	0	0	0	0	0	0
"1700009J07Rik"	0	0	0	0	0	0
"1700009N14Rik"	1	0	0	0	0	3
"1700010B08Rik"	0	0	0	0	0	0
"1700010D01Rik"	0	0	0	0	0	0
"1700010I02Rik"	5	1	9	5	10	3
"1700010I14Rik"	75	88	48	101	70	89
"1700010J16Rik"	0	0	0	0	0	0
"1700010K23Rik"	0	0	0	0	0	0
"1700011A15Rik"	0	0	0	0	0	0
"1700011B04Rik"	0	0	0	0	0	0
"1700011C11Rik"	0	0	0	0	0	0
"1700011E24Rik"	0	0	0	0	0	1
"1700011H14Rik"	0	1	0	0	0	0
"1700011I03Rik"	27	8	17	2	14	9
"1700011L22Rik"	0	2	0	0	0	1
"1700011M02Rik"	0	0	0	0	0	0
"1700012A03Rik"	0	0	0	0	0	0
"1700012B07Rik"	0	0	1	1	1	0
"1700012B09Rik"	0	0	0	0	0	0
"1700012C14Rik"	0	0	0	0	0	0
"1700012D01Rik"	31	9	15	11	8	14
"1700012D14Rik"	8	14	10	18	14	11
"1700012D16Rik"	0	0	0	0	0	0
"1700012H19Rik"	0	0	0	0	0	0
"1700012I11Rik"	0	0	0	0	0	0
"1700012L04Rik"	0	0	1	2	0	1
"1700012P22Rik"	0	0	0	0	4	3
"1700013D24Rik"	0	0	1	0	0	0
"1700013F07Rik"	2	3	3	0	0	2
"1700013G24Rik"	0	0	0	0	0	0
"1700013H16Rik"	0	0	0	0	0	0
"1700015E13Rik"	1	5	1	0	4	2
"1700015F17Rik"	0	0	0	0	0	0
"1700015G11Rik"	0	0	0	0	0	0
"1700016C15Rik"	1	4	5	6	8	9
"1700016D06Rik"	2	1	0	1	5	3
"1700016G22Rik"	1	4	0	1	0	1
"1700016H13Rik"	4	8	9	18	7	12
"1700016K19Rik"	36	66	39	75	47	71
"1700016L04Rik"	0	0	0	0	0	0
"1700016L21Rik"	0	0	0	0	0	0
"1700016P04Rik"	0	0	0	0	0	0
"1700017B05Rik"	1354	1319	910	1003	899	986
"1700017D01Rik"	0	0	0	0	0	0
"1700017G19Rik"	0	0	0	0	0	0
"1700017J07Rik"	0	0	0	0	0	0
"1700017L05Rik"	0	0	0	0	0	0
"1700017N19Rik"	0	0	0	0	0	0
"1700018A04Rik"	13	18	16	21	9	13
"1700018B08Rik"	0	0	1	0	0	0
"1700018B24Rik"	0	0	0	0	0	0
"1700018C11Rik"	0	0	0	0	0	0
"1700018F24Rik"	0	0	0	0	0	0
"1700018G05Rik"	0	1	0	0	0	0
"1700018L02Rik"	89	108	62	89	109	134
"1700019A02Rik"	1	0	0	0	0	0
"1700019B03Rik"	0	0	0	0	1	1
"1700019B21Rik"	0	1	0	1	0	0
"1700019C18Rik"	0	0	0	0	0	0
"1700019D03Rik"	182	139	147	176	214	167
"1700019E08Rik"	0	0	0	0	0	0
"1700019G17Rik"	405	652	415	756	498	743
"1700019G24Rik"	0	1	0	1	0	0
"1700019L03Rik"	94	116	59	84	98	145
"1700019M22Rik"	0	0	0	0	0	0
"1700019N19Rik"	0	1	0	0	0	0
"1700019O17Rik"	0	0	0	0	0	0
"1700020A23Rik"	0	0	0	0	0	0
"1700020D05Rik"	0	1	0	1	2	0
"1700020D14Rik"	0	0	0	0	0	0
"1700020G17Rik"	0	0	0	0	0	0
"1700020I14Rik"	1649	1864	1270	1787	1421	1925
"1700020L24Rik"	138	111	76	137	95	106
"1700020M21Rik"	0	0	0	0	0	0
"1700020N01Rik"	1	1	0	6	2	1
"1700020N15Rik"	0	0	0	0	0	0
"1700020N18Rik"	0	0	1	2	0	1
"1700021F05Rik"	907	996	688	967	883	1131
"1700021F07Rik"	0	0	0	0	0	0
"1700021K19Rik"	1604	1383	1189	1645	1312	1597
"1700021N21Rik"	2	1	0	1	0	1
"1700022A21Rik"	0	0	0	0	0	0
"1700022A22Rik"	0	0	0	0	0	0
"1700022E09Rik"	0	0	0	0	0	0
"1700022H01Rik"	0	0	1	0	0	0
"1700022H16Rik"	1	0	0	0	0	0
"1700022I11Rik"	0	0	0	0	0	0
"1700023C21Rik"	0	0	0	0	0	0
"1700023F02Rik"	0	0	0	0	0	0
"1700023F06Rik"	30	8	14	17	22	36
"1700024B18Rik"	0	0	0	0	0	0
"1700024F13Rik"	1	0	1	0	4	1
"1700024G13Rik"	0	0	0	0	0	0
"1700024I08Rik"	0	0	0	0	0	0
"1700024N05Rik"	0	0	0	0	0	0
"1700024P04Rik"	0	0	0	0	0	0
"1700024P16Rik"	30	34	7	26	38	35
"1700025B11Rik"	0	0	0	0	0	0
"1700025C18Rik"	0	0	0	0	0	0
"1700025F22Rik"	0	0	0	0	0	0
"1700025F24Rik"	0	0	0	0	0	1
"1700025G04Rik"	2711	3041	2057	2790	2008	2717
"1700025J12Rik"	0	0	0	0	0	0
"1700025K24Rik"	0	0	0	0	0	0
"1700025M24Rik"	0	0	0	0	0	0
"1700025N23Rik"	28	32	22	41	29	31
"1700026D08Rik"	1	1	0	0	0	0
"1700026D11Rik"	0	0	0	0	0	0
"1700026F02Rik"	0	0	1	0	0	0
"1700026J14Rik"	1	0	0	0	0	0
"1700026L06Rik"	1	15	1	3	0	1
"1700027A15Rik"	0	0	0	0	0	0
"1700027F06Rik"	0	0	0	0	0	0
"1700027F09Rik"	1	0	0	0	1	1
"1700027H10Rik"	0	0	0	0	0	0
"1700027I24Rik"	0	0	0	0	0	0
"1700027J07Rik"	1	0	0	0	0	0
"1700028B04Rik"	0	0	0	0	0	0
"1700028D13Rik"	0	0	0	0	0	0
"1700028E10Rik"	11	9	5	18	15	16
"1700028I16Rik"	0	0	2	1	5	0
"1700028J19Rik"	30	17	20	52	29	44
"1700028K03Rik"	14	14	5	12	16	26
"1700028M03Rik"	0	0	0	0	0	0
"1700028P14Rik"	1	1	0	0	0	0
"1700028P15Rik"	0	0	0	0	0	0
"1700029B22Rik"	0	0	0	0	0	0
"1700029F12Rik"	0	0	0	0	0	0
"1700029H14Rik"	0	0	0	0	0	0
"1700029I15Rik"	4	4	3	6	10	6
"1700029J03Rik"	0	0	0	0	0	0
"1700029J07Rik"	42	41	20	44	75	37
"1700029M20Rik"	3	0	0	0	0	0
"1700029N11Rik"	0	0	0	0	0	0
"1700029P11Rik"	0	0	0	0	0	0
"1700030A11Rik"	14	12	7	9	14	28
"1700030C10Rik"	95	87	58	83	115	135
"1700030F04Rik"	0	0	0	0	0	0
"1700030F18Rik"	1	1	0	0	0	0
"1700030J22Rik"	72	85	76	100	41	78
"1700030K09Rik"	141	161	122	160	191	212
"1700030L20Rik"	1	0	0	0	0	1
"1700030M09Rik"	0	0	0	0	0	0
"1700030N03Rik"	0	0	0	0	0	0
"1700030O20Rik"	0	0	0	0	0	0
"1700031A10Rik"	1	0	0	0	0	0
"1700031F05Rik"	0	0	0	0	0	0
"1700031M16Rik"	0	0	0	0	0	0
"1700031P21Rik"	0	0	0	0	0	0
"1700034E13Rik"	0	0	0	0	0	0
"1700034G24Rik"	0	0	0	0	0	0
"1700034H15Rik"	15	17	11	8	15	22
"1700034I23Rik"	0	0	0	0	1	0
"1700034J05Rik"	0	0	0	0	0	0
"1700034K08Rik"	0	0	0	0	0	0
"1700034O15Rik"	0	0	0	0	0	0
"1700034P13Rik"	2	9	3	10	8	2
"1700036G14Rik"	0	0	0	0	0	0
"1700037C18Rik"	164	113	121	157	126	204
"1700037H04Rik"	997	1000	759	1117	780	1104
"1700039E15Rik"	0	0	0	0	0	0
"1700039E22Rik"	0	0	0	0	0	0
"1700040L02Rik"	108	138	87	140	97	198
"1700041A01Rik"	0	0	0	0	0	0
"1700041C23Rik"	0	0	0	0	0	0
"1700041M19Rik"	0	0	0	0	0	0
"1700042G07Rik"	0	2	0	1	2	2
"1700042G15Rik"	6	11	7	6	2	8
"1700042O10Rik"	4	1	1	1	0	0
"1700044C05Rik"	0	0	0	0	0	0
"1700044K03Rik"	0	0	0	0	0	0
"1700045H11Rik"	3	2	0	3	0	3
"1700046C09Rik"	0	0	0	0	0	0
"1700047A11Rik"	0	1	1	0	0	1
"1700047E10Rik"	0	1	0	2	5	4
"1700047G03Rik"	0	2	0	0	0	0
"1700047I17Rik2"	0	0	0	0	0	0
"1700047L14Rik"	0	0	0	0	0	0
"1700047M11Rik"	5	3	2	2	0	4
"1700048M11Rik"	0	3	4	4	0	8
"1700048O20Rik"	58	33	29	41	71	54
"1700049E15Rik"	0	2	0	0	0	0
"1700049E22Rik"	0	0	0	0	0	0
"1700049G17Rik"	213	202	182	267	203	230
"1700049L16Rik"	0	0	0	0	0	0
"1700051A21Rik"	0	0	0	1	0	0
"1700052I22Rik"	0	0	0	0	0	0
"1700052K11Rik"	218	185	175	204	154	185
"1700054A03Rik"	5	3	9	4	13	13
"1700054K19Rik"	0	0	0	0	0	0
"1700054M17Rik"	0	0	0	0	0	0
"1700055C04Rik"	0	0	0	0	0	0
"1700056E22Rik"	22	33	35	26	13	29
"1700057G04Rik"	0	0	0	0	0	1
"1700057H15Rik"	0	0	0	0	0	0
"1700057H21Rik"	1	0	0	0	0	0
"1700060C16Rik"	0	0	0	0	0	0
"1700060C20Rik"	0	0	0	0	0	0
"1700061F12Rik"	0	0	0	0	0	0
"1700061G19Rik"	115	54	58	51	47	68
"1700061I17Rik"	0	0	0	0	0	0
"1700061J23Rik"	0	0	0	0	0	0
"1700063A18Rik"	0	0	0	0	0	0
"1700063D05Rik"	6	2	0	14	12	5
"1700063O14Rik"	0	0	0	0	0	0
"1700064J06Rik"	0	0	0	0	0	0
"1700064M15Rik"	0	0	0	0	0	0
"1700065D16Rik"	0	0	0	1	0	0
"1700065I16Rik"	0	0	0	1	0	0
"1700065J11Rik"	0	0	0	0	0	0
"1700065J18Rik"	0	0	0	0	0	0
"1700065L07Rik"	0	0	0	0	0	0
"1700065O20Rik"	0	0	0	0	0	0
"1700066B17Rik"	0	0	0	0	0	0
"1700066B19Rik"	293	428	250	389	230	302
"1700066J03Rik"	1	1	0	2	1	2
"1700066M21Rik"	407	372	303	455	320	426
"1700066N21Rik"	0	0	0	0	0	0
"1700066O22Rik"	0	0	0	0	0	0
"1700067G17Rik"	0	3	0	0	4	0
"1700067K01Rik"	12	11	2	4	7	22
"1700067P10Rik"	0	0	0	0	0	0
"1700069L16Rik"	0	0	0	0	0	0
"1700069P05Rik"	0	0	0	0	0	0
"1700071K01Rik"	0	2	0	0	0	1
"1700071M16Rik"	1	2	6	5	3	13
"1700072B07Rik"	0	0	0	0	0	0
"1700072I22Rik"	0	0	0	0	0	0
"1700072O05Rik"	0	0	0	0	0	0
"1700073E17Rik"	0	1	3	0	2	0
"1700074H08Rik"	0	0	0	0	0	0
"1700074P13Rik"	0	0	0	0	0	0
"1700080E11Rik"	0	0	0	0	0	0
"1700080N15Rik"	0	0	0	0	0	0
"1700080O16Rik"	0	0	0	0	0	0
"1700081H04Rik"	0	0	0	0	0	0
"1700084C01Rik"	5	1	1	2	2	6
"1700084D21Rik"	0	1	0	1	0	0
"1700084E18Rik"	15	5	4	6	3	8
"1700084F23Rik"	0	0	0	0	0	0
"1700084J12Rik"	0	0	0	1	0	0
"1700084M14Rik"	0	0	0	0	0	0
"1700085C21Rik"	0	0	0	0	0	0
"1700086L19Rik"	19	11	5	16	5	16
"1700086O06Rik"	106	87	79	105	83	115
"1700088E04Rik"	9	2	6	6	20	16
"1700091H14Rik"	0	0	0	0	0	0
"1700092C02Rik"	0	0	0	0	0	0
"1700092C10Rik"	0	0	0	0	0	0
"1700092E19Rik"	0	0	0	0	0	0
"1700092K14Rik"	0	0	0	0	0	0
"1700092M07Rik"	1	5	1	6	4	1
"1700093K21Rik"	1	1	0	4	1	0
"1700094D03Rik"	114	142	90	139	136	136
"1700094J05Rik"	0	1	0	0	0	0
"1700094M24Rik"	0	0	0	0	0	0
"1700095A21Rik"	0	0	0	2	0	1
"1700095B10Rik"	2	0	0	0	0	0
"1700095J12Rik"	0	0	0	0	0	0
"1700096J18Rik"	0	0	0	0	7	1
"1700096K18Rik"	313	293	260	282	261	294
"1700096P03Rik"	0	0	0	0	0	0
"1700097N02Rik"	100	92	54	83	78	135
"1700099I09Rik"	0	1	0	0	0	1
"1700100I10Rik"	2	2	4	5	4	2
"1700100L14Rik"	0	0	0	0	0	0
"1700101E01Rik"	21	36	24	24	15	8
"1700101I11Rik"	2	0	0	1	2	4
"1700101O22Rik"	0	0	0	0	0	0
"1700102H20Rik"	12	4	11	9	12	12
"1700102P08Rik"	16	8	7	13	5	19
"1700104L18Rik"	0	0	0	0	0	0
"1700105P06Rik"	2	4	2	2	2	1
"1700106J16Rik"	0	0	0	0	0	0
"1700108F19Rik"	2	1	3	11	7	9
"1700108J01Rik"	0	0	0	0	0	0
"1700109G14Rik"	3	0	0	0	0	0
"1700109G15Rik"	0	0	0	0	0	0
"1700109H08Rik"	4	6	2	5	7	5
"1700109I08Rik"	0	0	0	0	0	0
"1700109K24Rik"	7	11	4	8	12	14
"1700110C19Rik"	0	0	0	0	0	0
"1700110I01Rik"	1	1	0	1	0	1
"1700110I07Rik"	1	0	1	0	0	2
"1700110K17Rik"	0	3	3	5	8	7
"1700111N16Rik"	0	0	0	0	0	1
"1700112E06Rik"	42	41	30	26	44	50
"1700112H15Rik"	1	0	0	0	0	0
"1700112J05Rik"	0	0	0	0	0	0
"1700112J16Rik"	12	15	6	9	21	15
"1700113A16Rik"	451	464	297	365	413	570
"1700113B09Rik"	0	0	0	0	0	0
"1700113H08Rik"	1	3	1	0	2	1
"1700116B05Rik"	0	0	0	0	0	0
"1700119H24Rik"	1	10	4	2	3	1
"1700120C14Rik"	52	19	17	1	20	17
"1700120E14Rik"	0	0	0	0	0	0
"1700120G07Rik"	0	0	0	0	0	0
"1700120K04Rik"	7	20	0	12	17	7
"1700121L16Rik"	0	0	0	0	0	1
"1700121N20Rik"	0	0	0	0	0	0
"1700122C19Rik"	0	0	4	1	0	0
"1700122O11Rik"	0	0	1	0	0	0
"1700123I01Rik"	13	34	9	14	13	25
"1700123J17Rik"	0	0	0	0	0	0
"1700123K08Rik"	0	0	0	0	0	0
"1700123L14Rik"	0	0	1	0	0	0
"1700123M08Rik"	51	36	28	17	19	23
"1700123O12Rik"	0	0	0	0	0	0
"1700123O20Rik"	1508	1523	1136	1490	1162	1679
"1700123O21Rik"	0	0	0	0	0	1
"1700124L16Rik"	1	1	0	0	1	1
"1700125G02Rik"	0	0	0	0	0	0
"1700125G22Rik"	0	0	1	0	0	0
"1700125H03Rik"	1	0	0	0	0	0
"1700125H20Rik"	0	0	0	1	0	0
"1700126H18Rik"	0	0	0	0	0	0
"1700128A07Rik"	0	0	0	0	0	0
"1700128F08Rik"	10	9	2	6	7	11
"1700129C05Rik"	0	0	0	0	0	0
"1810006J02Rik"	2	1	1	2	0	0
"1810007C17Rik"	0	0	0	0	0	0
"1810007D17Rik"	0	0	0	0	0	0
"1810008I18Rik"	54	91	66	60	52	74
"1810009A15Rik"	89	79	73	82	53	89
"1810009J06Rik"	0	0	0	0	0	0
"1810010D01Rik"	5	1	2	0	0	4
"1810010H24Rik"	62	78	67	47	70	80
"1810011H11Rik"	51	55	28	59	44	58
"1810011O10Rik"	1653	1965	1265	1842	2003	2262
"1810012K16Rik"	0	3	1	1	0	2
"1810013A23Rik"	7	8	7	6	8	7
"1810013L24Rik"	2304	2580	1691	2511	2239	2593
"1810014B01Rik"	238	200	130	187	166	209
"1810018F18Rik"	0	0	0	0	0	0
"1810019D21Rik"	241	354	214	338	490	595
"1810020O05Rik"	0	0	2	1	0	4
"1810021B22Rik"	43	51	31	36	26	56
"1810022K09Rik"	1556	1654	1098	1355	1134	1691
"1810024B03Rik"	11	9	4	6	13	8
"1810026B05Rik"	704	724	471	720	713	875
"1810026J23Rik"	2019	1834	1355	1711	1495	2099
"1810030O07Rik"	1128	1190	783	1276	1074	1384
"1810032O08Rik"	322	412	245	316	383	436
"1810034E14Rik"	138	147	152	261	224	318
"1810037I17Rik"	3860	4161	3157	4168	2999	4841
"1810041H14Rik"	5	3	8	4	5	10
"1810041L15Rik"	2521	1616	1649	1612	1840	2363
"1810043G02Rik"	438	442	371	425	395	444
"1810043H04Rik"	671	844	502	785	568	949
"1810044D09Rik"	60	81	60	71	76	92
"1810046K07Rik"	11	6	3	8	9	5
"1810053B23Rik"	0	0	0	0	0	0
"1810055G02Rik"	918	850	668	792	551	727
"1810058I24Rik"	1637	1482	1257	1319	1204	1698
"1810062G17Rik"	46	59	25	31	32	50
"1810062O18Rik"	19	8	4	16	11	10
"1810063I02Rik"	41	60	32	51	41	69
"1810064F22Rik"	6	11	7	15	16	8
"1810065E05Rik"	629	953	493	960	634	998
"2010001A14Rik"	258	244	199	312	212	350
"2010001E11Rik"	11	13	1	8	13	10
"2010003K11Rik"	511	722	392	912	523	1101
"2010005H15Rik"	8	18	1	16	9	14
"2010009K17Rik"	3	5	7	1	9	11
"2010010A06Rik"	8	29	8	27	19	48
"2010012O05Rik"	604	501	402	561	616	673
"2010016I18Rik"	57	66	64	116	114	147
"2010106C02Rik"	0	1	1	1	0	2
"2010106E10Rik"	260	321	214	307	348	442
"2010107E04Rik"	4720	5239	3289	5281	3991	5867
"2010107G12Rik"	167	210	169	212	215	206
"2010107G23Rik"	506	705	417	717	513	859
"2010109A12Rik"	5	4	2	5	5	4
"2010109I03Rik"	2513	3721	2063	5694	2586	4211
"2010111I01Rik"	3812	3606	2848	3177	3211	3720
"2010204K13Rik"	62	39	33	46	39	68
"2010300C02Rik"	3095	4219	2583	4383	2707	4158
"2010308F09Rik"	2	6	4	0	8	2
"2010310C07Rik"	0	0	0	0	0	0
"2010315B03Rik"	964	984	651	1116	847	1054
"2010320M18Rik"	287	294	215	294	286	349
"2200002D01Rik"	7634	11505	6246	11053	8496	14092
"2200002J24Rik"	0	6	1	4	9	22
"2210010C04Rik"	0	1	0	0	0	0
"2210011C24Rik"	101	78	70	94	55	71
"2210013O21Rik"	644	472	359	445	390	528
"2210015D19Rik"	269	246	195	265	282	291
"2210016F16Rik"	2731	3448	2009	3570	2443	3657
"2210016L21Rik"	1636	1796	1283	1547	1284	1726
"2210018M11Rik"	778	757	569	828	706	919
"2210019I11Rik"	7	11	5	13	8	29
"2210039B01Rik"	130	119	93	96	149	159
"2210404E10Rik"	0	0	0	0	0	0
"2210404O09Rik"	303	335	195	308	174	275
"2210406O10Rik"	29	44	23	26	17	31
"2210407C18Rik"	582	963	469	738	499	563
"2210408F21Rik"	179	65	76	41	63	48
"2210408I21Rik"	153	142	122	141	107	169
"2210409D07Rik"	0	0	0	0	0	0
"2210409E12Rik"	0	0	0	0	0	0
"2210414B05Rik"	0	0	0	0	0	0
"2210416O15Rik"	22	26	11	15	30	26
"2210417A02Rik"	30	37	27	32	34	34
"2210420H20Rik"	0	0	0	0	0	2
"2300002M23Rik"	327	175	355	10	214	207
"2300003K06Rik"	0	0	0	0	0	0
"2300005B03Rik"	67	14	55	8	22	72
"2300009A05Rik"	307	319	215	343	240	414
"2310001H17Rik"	179	120	85	135	154	160
"2310001K24Rik"	4	2	2	1	4	2
"2310002D06Rik"	1	0	0	0	0	3
"2310002F09Rik"	1	0	0	1	0	0
"2310002L09Rik"	194	58	52	1	36	20
"2310003N18Rik"	7	0	1	0	4	4
"2310005A03Rik"	2	0	2	2	0	6
"2310005E17Rik"	0	0	0	0	0	0
"2310007B03Rik"	440	411	310	417	348	495
"2310008N11Rik"	5	1	0	4	3	2
"2310009A05Rik"	386	492	292	456	342	471
"2310009B15Rik"	290	314	199	258	233	315
"2310010G23Rik"	28	22	19	20	20	29
"2310010J17Rik"	84	94	55	74	71	84
"2310011J03Rik"	1435	1803	1231	1614	1289	1864
"2310015A10Rik"	1121	1065	823	870	1066	1047
"2310015D24Rik"	164	60	37	2	28	16
"2310016D03Rik"	0	0	0	0	0	0
"2310020H05Rik"	23	6	8	1	2	17
"2310022A10Rik"	1110	855	714	793	647	933
"2310022B05Rik"	4115	3433	2925	3077	2939	3165
"2310030A07Rik"	0	0	0	0	0	0
"2310030G06Rik"	468	544	362	620	396	592
"2310033P09Rik"	770	770	585	730	598	782
"2310034C09Rik"	0	1	0	0	7	5
"2310034G01Rik"	160	188	94	187	118	172
"2310034O05Rik"	0	0	0	0	0	0
"2310035C23Rik"	2787	3711	2249	3411	2588	3787
"2310036O22Rik"	4397	4830	3213	4621	3859	5183
"2310039H08Rik"	808	956	648	772	584	939
"2310039L15Rik"	16	32	21	32	33	20
"2310040G24Rik"	246	140	67	55	81	84
"2310043L19Rik"	64	16	27	1	22	10
"2310043O21Rik"	0	7	1	0	0	4
"2310045N01Rik"	1270	1316	937	1206	1063	1325
"2310045n01rik-mef2b"	0	0	0	0	0	0
"2310047M10Rik"	1290	1359	989	1128	1060	1417
"2310050C09Rik"	119	86	68	10	21	175
"2310057J18Rik"	0	0	0	6	0	0
"2310057M21Rik"	346	293	285	295	273	329
"2310057N15Rik"	0	0	1	0	0	0
"2310061I04Rik"	1533	1682	1087	2005	1594	2283
"2310061N02Rik"	20	1	28	0	0	15
"2310065F04Rik"	162	33	41	1	34	16
"2310067B10Rik"	4191	4834	3070	5540	3664	5481
"2310068J16Rik"	19	9	7	12	16	13
"2310069B03Rik"	22	21	12	27	13	20
"2310069G16Rik"	0	2	0	0	0	0
